Artist,Name,Image,Tags,Url
Bad Bunny,DeBÍ TiRAR MáS FOToS,img/fotos.jpg,reguetón,https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb?si=s7bQEJFWTr61xfkm0wYzvw
C. Tangana,Avida Dollars,img/dollars.jpg,rap,https://open.spotify.com/album/7Dl3kd377FvNAEVHHOMSTM?si=cFDrlHX7TQ6fKeVtiIr-dg
C. Tangana,Bien:(,img/bien.jpg,rap|pop, https://open.spotify.com/album/3Sat3hmUbXJdivRd9PIhrX?si=FvSfxPBZQyqa9cfZMtRtCw
C. Tangana,El Madrileño,img/mad.jpeg,fusión|flamenco|león,https://open.spotify.com/album/52QyC9nSbgtHFXyQRHsXJ9?si=NcbMIrJzTcWSAqImcDSruQ
CBS Power All Stars,All Stars (The Album),img/stars.jpg,rock|pop|león,
Cheap Trick,Standing on the Edge,img/trick.jpg,rock|power pop|león,https://open.spotify.com/album/2rzIBsrappXePwoyFcBtI6?si=ciAFDWk2Q5SEu72grDhdQg
Choclock,Daltónico pero me siento Azul,img/dalton.jpeg,r&b,https://open.spotify.com/album/2GS4OCw6wd47mu7OFdzWFH?si=haHGo6mpSDGvoteUFQ63tQ
Cruz Cafuné,Blu€s,img/azul.jpg,trap,https://open.spotify.com/album/4cdd2jx9GScUzDETwJ6GEk?si=tZZmB9rETieP-sSn2EiECg
Cruz Cafuné,Me Muevo Con Dios,img/MMCD.png,rap|r&b|león,https://open.spotify.com/album/7yvmtCjHcBe9DqIVl7AwQT?si=BAss2UN2TweO1nm94DlFlQ
Cruz Cafuné,Visión Túnel,img/tunel.jpeg,trap,https://open.spotify.com/album/4DM8p5oOEbrBM5xzoO6qYU?si=v_adN3JlRmOMUrwPiBmc4g
Dano,Nuevos Trapos,img/trapos.jpeg,rap|león,https://open.spotify.com/album/05QwR4mSOlpHbtYFAOcB4f?si=ioYz7V1mTcyOLSoKBAJqXg
Delaossa,La Tour Liffee,img/tour.jpg,rap,https://open.spotify.com/album/7ppEt8YdvnAWeNTKNPR4ca?si=YOqlzmiLQfqXup7gm69dMQ
Dellafuente,Ansia Viva,img/ansia.jpg,trap|flamenco,https://open.spotify.com/album/03a68tDUXs4dX7nVcVfJAn?si=56CIT1zVR6et29JT82wtpQ
Dellafuente,Azulejos de Corales,img/corales.jpg,flamenco|experimental|fusión|león,https://open.spotify.com/album/4q1iG9Jub9KRC25vZ0f6y4?si=8CzGPTqiRvK1UV_23MQmNA
Dellafuente,Torii Yama,img/yama.jpg,trap,https://open.spotify.com/album/6zSKkBQfQs3B9YncN3SGyI?si=lvqw3dcXQD6YTAv6J0EAHQ
Dellafuente,Lagrimas pa otro dia,img/lagrimas.jpg,flamenco,https://open.spotify.com/album/3cPRpK8yUQV5T6QTt7XGfp?si=Iccqtrc4QC6_YJE1aFPGyg
Diego900,La Espalda Del Sol,img/espalda.jpeg,rap|león,https://open.spotify.com/album/0EMwFzMU6W8VlWVy6NKPUu?si=hCBaZcdGREGk2pUhbpJRmA
Eladio Carrión,DON KBRON,img/kbron.jpeg,trap,https://open.spotify.com/album/77WXheyyYBkqqz6Q19l37a?si=LZGEvDmVTsuwGQeiY__IxA
Elio Toffana,Shock Wave,img/wave.jpg,rap,https://open.spotify.com/album/17D4dmW8j9e7UD301XGz0m?si=v5BXpuOER7eIv0_cakd3gw
Enry-K,DOT.,img/dot.jpg,trap,https://open.spotify.com/album/3jEhw84FzMpeLncX7cy6OF?si=1fJ6op5URSmorp3AiyI5mA
Enry-K,Luz Rosa,img/rosa.jpeg,pop|trap,https://open.spotify.com/album/7LzrBmi5dTqST3lPfeKbDP?si=1-FlqUOoRbKVairV-v6f0g
Extremoduro,Canciones Prohibidas,img/canciones.jpeg,rock|léon,https://open.spotify.com/album/5QHJB2blBbAL8BjrD9hrhG?si=nx3hiW7KRPayQwYTRjxvyg
Extremoduro,Rock Transgresivo,img/transgresivo.jpeg,rock, https://open.spotify.com/album/4f7hfg6zPldUQf9DY4ihqq?si=4VUzm2SGQ1WVyx0E3wEfOw
Judelline,Bodhiria,img/bodhiria.jpg,r&b|león,https://open.spotify.com/album/3fVXh36WypsZR2JGathvkq?si=M44OjmVxQv27K-Qd7xa0KQ
Juicy Bae,Antes De Conocerte,img/antes.jpg,trap|r&b,https://open.spotify.com/album/3m6TsytKnxFmghjbFWLraO?si=8YomnAwGRcK0K0AskrzbZQ
Juicy Bae,El Secreto,img/secreto.jpg,r&b,https://open.spotify.com/album/4NJFWpVWPgPvrciytpxOvr?si=YSbugIWzRnSPbjfmU1zhJA
Juicy Bae,PTSD,img/ptsd.jpg,trap,https://open.spotify.com/album/3uCDoXLQZnDAck1R6Y0Tuk?si=_7vlINIhS4SQzPp7hYkWfQ
La Casa Azul,La Gran Esfera,img/esfera.jpg,pop|indie|electrónica,https://open.spotify.com/album/5f1cJH6cg1uxKKkQDPOfvh?si=7cGnqWHrTZ6rntiWZ0boeQ
Linkin Park,From Zero,img/zero.webp,rock,https://open.spotify.com/album/5QfFvOMOJ0CrIDmu33RmSJ?si=0jjwzaBTR-Sa8iNy-YMaag    
Mahavishnu Orchestra,Birds of Fire,img/birds.jpg,jazz|león,https://open.spotify.com/album/6SLknspfGod3v3TyWawl8J?si=KGePL-eWQEWWOXS5r845XA
Miles Davis,Sorcerer,img/davis.jpg,jazz|león,https://open.spotify.com/album/4ONkvBCQrd2A8qJ5Cw6FYo?si=GmRbKHt2TKqskTfhm9cAAw
Quevedo,Buenas Noches,img/noches.jpg,reguetón,https://open.spotify.com/album/3V2ApPxUSquOkjLQU3wmjh?si=3X4Knt8sQoW0twly0X0bRw
Radio Futura, La Ley del Desierto, img/desierto.jpg, rock|experimental, https://open.spotify.com/album/12q1hQoVuKLVUaqlksygIu?si=3xpZNvC1TrWgpcIPS1nzTQ
Radio Futura, Veneno en la Piel, img/veneno.jpg, rock|pop, https://open.spotify.com/album/5494a8BNRIElBxQmoWpo8O?si=w-2VkArHQrem17aVYPLCpg
Raul Clyde,Destino 2014,img/destino.jpeg,reguetón,https://open.spotify.com/album/5KvIYKPV17rdUz4ZrTz7Qx?si=0bMFjSuJQHmJX4zgJIk2Jg
Recycled J,Casanova,img/casanova.jpg,pop,https://open.spotify.com/album/4Vu2ERMwmGhJ3oOJrr9nfB?si=d7Tuy1_ETX2NHA7Tl5Yt9Q
Recycled J,Preludio,img/pre.jpg,rap,https://open.spotify.com/album/3bwtp40wXMy9dWWlNDgL4u?si=6Cp_ZPVpRLOgtf9RotJz8g
Recycled J,San Jorge,img/jorge.jpeg,rap|trap|pop,https://open.spotify.com/album/5SMgH661iAfJixb3gVRtH5?si=3iIY5wHdSKmxKRTdnpr7uQ
